filename, language, TypeScript, CSS, JSON, HTML, SCSS, comment, blank, total
c:\Dev\mobilecontrol\src\FrontEnd\src\app\equipment\equipment-list\equipment-list.component.ts, TypeScript, 56, 0, 0, 0, 0, 2, 12, 70
c:\Dev\mobilecontrol\src\FrontEnd\src\app\equipment\equipment.component.html, HTML, 0, 0, 0, 25, 0, 1, 3, 29
c:\Dev\mobilecontrol\src\FrontEnd\src\app\equipment\equipment.component.ts, TypeScript, 16, 0, 0, 0, 0, 0, 5, 21
c:\Dev\mobilecontrol\src\FrontEnd\src\app\equipmentlog\equipmentlog-day\equipmentlog-day.component.html, HTML, 0, 0, 0, 43, 0, 0, 7, 50
c:\Dev\mobilecontrol\src\FrontEnd\src\app\equipmentlog\equipmentlog-day\equipmentlog-day.component.ts, TypeScript, 47, 0, 0, 0, 0, 0, 8, 55
c:\Dev\mobilecontrol\src\FrontEnd\src\app\equipmentlog\equipmentlog-list\equipmentlog-list.component.html, HTML, 0, 0, 0, 77, 0, 0, 13, 90
c:\Dev\mobilecontrol\src\FrontEnd\src\app\equipmentlog\equipmentlog-list\equipmentlog-list.component.ts, TypeScript, 61, 0, 0, 0, 0, 2, 10, 73
c:\Dev\mobilecontrol\src\FrontEnd\src\app\equipmentlog\equipmentlog.component.html, HTML, 0, 0, 0, 17, 0, 1, 4, 22
c:\Dev\mobilecontrol\src\FrontEnd\src\app\equipmentlog\equipmentlog.component.ts, TypeScript, 24, 0, 0, 0, 0, 0, 5, 29
c:\Dev\mobilecontrol\src\FrontEnd\src\app\main.ts, TypeScript, 5, 0, 0, 0, 0, 0, 2, 7
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\BaseCommandResult.model.ts, TypeScript, 9, 0, 0, 0, 0, 2, 1, 12
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\category\CreateCategoryCommand.model.ts, TypeScript, 3, 0, 0, 0, 0, 0, 0, 3
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\category\GetCategoryResult.model.ts, TypeScript, 4, 0, 0, 0, 0, 0, 0, 4
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\category\UpdateCategoryCommand.model.ts, TypeScript, 4, 0, 0, 0, 0, 0, 0, 4
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\company\CreateCompanyCommand.model.ts, TypeScript, 26, 0, 0, 0, 0, 0, 0, 26
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\company\GetCompanyReducedResult.model.ts, TypeScript, 5, 0, 0, 0, 0, 0, 0, 5
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\company\GetCompanyResult.model.ts, TypeScript, 28, 0, 0, 0, 0, 0, 0, 28
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\company\UpdateCompanyCommand.model.ts, TypeScript, 29, 0, 0, 0, 0, 0, 0, 29
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\costcenterarea\CreateCostCenterAreaCommand.model.ts, TypeScript, 5, 0, 0, 0, 0, 0, 0, 5
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\costcenterarea\GetCostCenterAreaResult.model.ts, TypeScript, 7, 0, 0, 0, 0, 0, 0, 7
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\costcenterarea\UpdateCostCenterAreaCommand.model.ts, TypeScript, 6, 0, 0, 0, 0, 0, 0, 6
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\devicemodel\CreateDeviceModelCommand.model.ts, TypeScript, 4, 0, 0, 0, 0, 0, 0, 4
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\devicemodel\GetDeviceModelResult.model.ts, TypeScript, 8, 0, 0, 0, 0, 0, 0, 8
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\devicemodel\UpdateDeviceModelCommand.model.ts, TypeScript, 5, 0, 0, 0, 0, 0, 0, 5
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\employee\CreateEmployeeCommand.model.ts, TypeScript, 23, 0, 0, 0, 0, 0, 0, 23
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\employee\GetEmployeeResult.model.ts, TypeScript, 24, 0, 0, 0, 0, 0, 0, 24
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\employee\UpdateEmployeeCommand.model.ts, TypeScript, 24, 0, 0, 0, 0, 0, 0, 24
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\equipment\GetEquipmentReducedResult.model.ts, TypeScript, 12, 0, 0, 0, 0, 0, 1, 13
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\equipment\GetEquipmentResult.model.ts, TypeScript, 29, 0, 0, 0, 0, 0, 1, 30
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\equipment\GetEquipmentResumed.model.ts, TypeScript, 4, 0, 0, 0, 0, 0, 1, 5
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\equipmentlog\GetDatesAvailableForEquipmentLog.model.ts, TypeScript, 4, 0, 0, 0, 0, 0, 0, 4
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\equipmentlog\GetEquipmentLogResumedCommand.model.ts, TypeScript, 15, 0, 0, 0, 0, 0, 0, 15
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\manufacturer\CreateManufacturerCommand.model.ts, TypeScript, 3, 0, 0, 0, 0, 0, 0, 3
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\manufacturer\GetManufacturerResult.model.ts, TypeScript, 4, 0, 0, 0, 0, 0, 0, 4
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\manufacturer\UpdateManufacturerCommand.model.ts, TypeScript, 4, 0, 0, 0, 0, 0, 0, 4
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\manufacturercategory\CreateManufacturerCategoryCommand.model.ts, TypeScript, 4, 0, 0, 0, 0, 0, 0, 4
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\manufacturercategory\GetManufacturerCategoryResult.model.ts, TypeScript, 8, 0, 0, 0, 0, 0, 0, 8
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\manufacturercategory\UpdateManufacturerCategoryCommand.model.ts, TypeScript, 5, 0, 0, 0, 0, 0, 0, 5
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\position\CreatePositionCommand.model.ts, TypeScript, 4, 0, 0, 0, 0, 0, 0, 4
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\position\GetPositionResult.model.ts, TypeScript, 6, 0, 0, 0, 0, 0, 0, 6
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\position\UpdatePositionCommand.model.ts, TypeScript, 5, 0, 0, 0, 0, 0, 0, 5
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\subsidiary\CreateSubsidiaryCommand.model.ts, TypeScript, 4, 0, 0, 0, 0, 0, 0, 4
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\subsidiary\GetSubsidiaryResult.model.ts, TypeScript, 6, 0, 0, 0, 0, 0, 0, 6
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\subsidiary\UpdateSubsidiaryCommand.model.ts, TypeScript, 5, 0, 0, 0, 0, 0, 0, 5
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\userprofile\FileParameter.ts, TypeScript, 4, 0, 0, 0, 0, 0, 0, 4
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\userprofile\GetLoggedUserResult.model.ts, TypeScript, 9, 0, 0, 0, 0, 0, 0, 9
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\userprofile\GetUserProfileResult.model.ts, TypeScript, 4, 0, 0, 0, 0, 0, 0, 4
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\userprofile\LoginUserCommand.model.ts, TypeScript, 5, 0, 0, 0, 0, 0, 0, 5
c:\Dev\mobilecontrol\src\FrontEnd\src\app\models\userprofile\TokenAndRefreshToken.model.ts, TypeScript, 8, 0, 0, 0, 0, 0, 0, 8
c:\Dev\mobilecontrol\src\FrontEnd\src\app\modules\MobileControl.module.ts, TypeScript, 108, 0, 0, 0, 0, 7, 11, 126
c:\Dev\mobilecontrol\src\FrontEnd\src\app\modules\MobileControl.routing.ts, TypeScript, 28, 0, 0, 0, 0, 7, 5, 40
c:\Dev\mobilecontrol\src\FrontEnd\src\app\modules\auth\auth.guard.ts, TypeScript, 37, 0, 0, 0, 0, 2, 3, 42
c:\Dev\mobilecontrol\src\FrontEnd\src\app\modules\auth\auth.interceptor.ts, TypeScript, 129, 0, 0, 0, 0, 12, 17, 158
